HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because addStaticImport is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because addStaticWildcardImport is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because emptyImports is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because emptyStaticImports is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because addImportFromSubpackage is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because ifControlFlow is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because doWhileControlFlow is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because tryCatchFinallyControlFlow is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedType is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedMember is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedWithAttributes is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because parameterizedType is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because compressType is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because compressDeeperType is more interested in members of the type: JavaWriter
